,,
번호,areaCode,특보구역 명
1,L1020110,강릉평지
2,L1020210,동해평지
3,L1020300,태백
4,L1020410,삼척평지
5,L1020510,속초평지
6,L1020610,고성평지
7,L1020710,양양평지
8,L1020800,영월
9,L1020910,평창평지
10,L1021010,정선평지
11,L1021100,횡성
12,L1021200,원주
13,L1021300,철원
14,L1021400,화천
15,L1021510,홍천평지
16,L1021600,춘천
17,L1021710,양구평지
18,L1021810,인제평지
19,L1025020,강원북부산지
20,L1026020,강원중부산지
21,L1027020,강원남부산지
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
