,,,
번호,areaCode,특보구역 명,
1,S1131000,동해남부앞바다,
2,S1131100,울산앞바다,
3,S1131200,경북남부앞바다,
4,S1131300,경북북부앞바다,
5,S1132100,동해남부남쪽먼바다,
6,S1132200,동해남부북쪽먼바다,
7,S1151000,동해중부앞바다,
8,S1151100,강원북부앞바다,
9,S1151200,강원중부앞바다,
10,S1151300,강원남부앞바다,
11,S1152000,동해중부먼바다,
12,S1231000,서해남부앞바다,
13,S1231100,전북북부앞바다,
14,S1231200,전북남부앞바다,
15,S1231300,전남북부서해앞바다,
16,S1231400,전남중부서해앞바다,
17,S1231500,전남남부서해앞바다,
18,S1232100,서해남부북쪽먼바다,
19,S1232200,서해남부남쪽먼바다,
20,S1251000,서해중부앞바다,
21,S1251100,인천·경기북부앞바다,
22,S1251200,인천·경기남부앞바다,
23,S1251300,충남북부앞바다,
24,S1251400,충남남부앞바다,
25,S1252000,서해중부먼바다,
26,S1311000,남해동부앞바다,
27,S1311100,부산앞바다,
28,S1311200,경남서부남해앞바다,
29,S1311300,경남중부남해앞바다,
30,S1311400,거제시동부앞바다,
31,S1312000,남해동부먼바다,
32,S1321000,남해서부앞바다,
33,S1321100,전남서부남해앞바다,
34,S1321200,전남동부남해앞바다,
35,S1322100,남해서부서쪽먼바다,
36,S1322200,남해서부동쪽먼바다,
37,S1323000,제주도앞바다,
38,S1323100,제주도북부앞바다,
39,S1323200,제주도동부앞바다,
40,S1323300,제주도남부앞바다,
41,S1323400,제주도서부앞바다,
42,S1324000,제주도남쪽먼바다,
43,S2110100,경북남부앞바다중 평수구역,
44,S2110200,울산앞바다중 평수구역,
45,S2120100,경북북부앞바다중 연안바다,
46,S2120200,경북북부앞바다중 영덕연안바다,
47,S2120300,경북남부앞바다중 연안바다,
48,S2120400,울산앞바다중 연안바다,
49,S2120500,강원중부앞바다중 연안바다,
50,S2120600,강원북부앞바다중 연안바다,
51,S2120700,강원남부앞바다중 연안바다,
52,S2120800,울릉도울릉읍연안바다,
53,S2120900,울릉도서면연안바다,
54,S2121000,울릉도북면연안바다,
55,S2210100,전북북부앞바다중 평수구역,
56,S2210200,전북남부앞바다중 평수구역,
57,S2210300,전남북부서해앞바다중 평수구역,
58,S2210500,전남남부서해앞바다중 평수구역,
59,S2210600,충남북부앞바다중 평수구역,
60,S2210700,충남남부앞바다중 평수구역,
61,S2210800,인천·경기북부앞바다중 앞평수구역,
62,S2210900,인천·경기북부앞바다중 먼평수구역,
63,S2211000,인천·경기남부앞바다중 앞평수구역,
64,S2211100,인천·경기남부앞바다중 먼평수구역,
65,S2211200,서해남부남쪽먼바다중 조도부근평수구역,
66,S2211300,전남중부서해앞바다중 먼평수구역,
67,S2211400,전남중부서해앞바다중 앞평수구역,
68,S2211500,천수만 평수구역,
69,S2310100,부산앞바다중 동부평수구역,
70,S2310200,부산앞바다중 서부평수구역,
71,S2310300,경남중부남해앞바다중 평수구역,
72,S2310400,경남서부남해앞바다중 동부평수구역,
73,S2310500,경남서부남해앞바다중 서부평수구역,
74,S2310600,경남서부남해앞바다중 남부평수구역,
75,S2310700,전남서부남해앞바다중 평수구역,
76,S2310800,전남동부남해앞바다중 서부평수구역,
77,S2310900,전남동부남해앞바다중 동부평수구역,
78,S2320100,부산앞바다중 연안바다,
79,S2320200,거제시동부앞바다중 연안바다,
80,S2320300,경남서부남해앞바다중 남해군연안바다,
81,S2320400,제주도북부앞바다중 연안바다,
82,S2320610,제주도서부앞바다중 북서연안바다,
83,S2320620,제주도서부앞바다중 남서연안바다,
84,S2320700,제주도남부앞바다중 연안바다,
85,S2320800,경남중부남해앞바다중 연안바다,
86,S2320900,제주도동부앞바다중 북동연안바다,
87,S2321000,제주도동부앞바다중 남동연안바다,
88,S2330100,남해서부서쪽먼바다중 추자도연안바다,
89,S2330200,제주도동부앞바다중 우도연안바다,
90,S2330300,제주도서부앞바다중 가파도연안바다,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
